,Applepredicted_closing_price
827,45.804585
828,46.432816
829,45.558212
830,44.93613
831,44.641777
832,44.4367
833,44.223442
834,44.37128
835,43.671696
836,43.260788
837,44.4904
838,45.14328
839,45.83243
840,46.909294
841,47.514915
842,48.106003
843,48.03866
844,48.09274
845,47.802456
846,48.07422
847,49.06147
848,49.023438
849,49.44693
850,49.28435
851,49.29301
852,48.634808
853,49.536484
854,49.514755
855,49.232437
856,49.961227
857,50.228912
858,50.686386
859,50.661892
860,49.795807
861,50.012623
862,50.393776
863,50.152874
864,50.498966
865,50.88735
866,50.792328
867,50.56257
868,51.0345
869,50.38194
870,51.417164
871,51.731117
872,51.832714
873,51.461704
874,51.610706
875,52.014706
876,51.87368
877,52.83422
878,51.8332
879,50.94658
880,48.503162
881,49.124363
882,49.43562
883,50.5238
884,49.99342
885,49.919075
886,51.6581
887,50.388412
888,50.28838
889,51.131294
890,52.066105
891,52.18166
892,52.735497
893,52.69384
894,50.63799
895,51.36531
896,50.736244
897,51.167038
898,51.83717
899,51.856556
900,51.23016
901,51.93445
902,52.80536
903,52.92693
904,53.18197
905,53.725754
906,55.303455
907,55.283764
908,54.480324
909,54.650654
910,54.78843
911,55.329136
912,54.956635
913,54.288624
914,54.42691
915,54.16682
916,54.944317
917,54.676582
918,54.51797
919,55.583797
920,55.749798
921,54.631443
922,54.97137
923,56.2515
924,56.388084
925,55.91372
926,56.43584
927,57.091084
928,58.568977
929,58.559414
930,58.57511
931,58.30165
932,58.532135
933,58.78311
934,59.764877
935,59.674877
936,60.503197
937,60.547855
938,61.34349
939,61.883205
940,60.693478
941,60.703957
942,61.807793
943,63.51478
944,64.021515
945,64.07832
946,64.07827
947,64.58576
948,64.772835
949,65.3277
950,65.27751
951,65.92606
952,65.47608
953,66.29276
954,66.51188
955,66.46695
956,65.74106
957,65.466736
958,65.341156
959,66.414795
960,65.928856
961,66.88389
962,66.60854
963,66.05898
964,64.89594
965,65.37585
966,66.15918
967,67.46397
968,66.62606
969,67.10412
970,67.44611
971,67.730774
972,68.599945
973,69.70286
974,69.90923
975,69.84955
976,69.88725
977,69.753784
978,70.844246
979,70.8744
980,72.35606
981,72.22001
982,72.84289
983,73.21261
984,74.89327
985,74.161354
986,74.97808
987,74.410675
988,75.75279
989,77.09025
990,77.43784
991,79.09874
992,77.96269
993,77.95749
994,78.60467
995,79.507996
996,79.05453
997,79.44522
998,79.65981
999,79.53823
1000,77.365776
1001,79.48946
1002,80.65414
1003,80.951904
1004,77.58253
1005,77.4936
1006,79.400276
1007,80.15947
1008,81.28316
1009,79.949486
1010,80.507996
1011,79.739235
1012,81.78194
1013,80.93959
1014,81.39675
1015,79.682045
1016,81.012695
1017,79.862686
1018,78.567924
1019,74.90251
1020,72.56861
1021,73.241264
1022,68.79386
1023,68.95871
1024,74.28374
1025,72.11814
1026,76.03919
1027,72.8482
1028,72.782394
1029,66.87161
1030,71.48565
1031,68.426346
1032,63.302906
1033,69.256294
1034,60.774914
1035,63.965046
1036,61.308357
1037,61.668343
1038,57.688847
1039,56.626118
1040,61.19887
1041,60.97861
1042,64.457436
1043,61.64528
1044,63.687447
1045,63.057312
1046,60.49382
1047,61.158943
1048,60.16486
1049,65.19916
1050,64.26722
1051,66.486
1052,66.46243
1053,68.06508
1054,71.152855
1055,70.68391
1056,71.58642
1057,70.42583
1058,69.30769
1059,67.187454
1060,68.938
1061,68.49973
1062,70.70974
1063,70.50732
1064,69.773186
1065,71.74028
1066,73.045845
1067,72.22306
1068,73.25877
1069,74.07521
1070,74.993095
1071,75.74324
1072,77.313126
1073,78.449615
1074,77.73755
1075,76.9739
1076,77.29253
1077,76.82184
1078,78.67294
1079,78.05981
1080,79.852196
1081,78.955826
1082,79.823105
1083,79.00184
1084,79.590614
1085,79.40988
1086,79.51064
1087,80.359215
1088,80.696365
1089,81.22141
1090,80.51836
1091,82.80372
1092,82.96579
1093,85.89826
1094,87.60545
1095,83.92602
1096,84.95782
1097,85.182
1098,87.82334
1099,87.41211
1100,87.92628
1101,87.12495
1102,89.51732
1103,90.94208
1104,89.73687
1105,91.055504
1106,87.97138
1107,90.52882
1108,90.37646
1109,90.93856
1110,90.63275
1111,93.11102
1112,92.44714
1113,95.07048
1114,94.80487
1115,95.54965
1116,94.77012
1117,96.54861
1118,96.75416
1119,95.99959
1120,95.80405
1121,97.61332
1122,96.12416
1123,96.93318
1124,92.2667
1125,92.825485
1126,93.95784
1127,92.85556
1128,94.807175
