,Microsoftpredicted_closing_price
378,71.798904
379,71.66357
380,72.025795
381,71.86181
382,72.14365
383,71.93397
384,71.11258
385,71.788956
386,72.681496
387,72.5741
388,72.924385
389,72.02645
390,71.972534
391,71.665634
392,72.38114
393,72.14759
394,72.12294
395,72.20408
396,72.223595
397,72.39717
398,73.153755
399,73.859665
400,73.37574
401,73.08808
402,72.86332
403,73.534515
404,73.35828
405,73.962265
406,73.986465
407,74.42872
408,74.16343
409,74.56252
410,74.49832
411,74.72853
412,74.38137
413,73.78868
414,73.83625
415,72.94236
416,72.80839
417,73.1891
418,73.25491
419,73.75107
420,73.91652
421,73.696594
422,73.99617
423,75.008896
424,75.201195
425,75.50677
426,75.56431
427,75.69454
428,76.26198
429,76.644356
430,76.86072
431,76.872574
432,76.90874
433,77.154106
434,77.89592
435,78.03588
436,78.125626
437,77.972336
438,78.06361
439,82.03417
440,82.63113
441,82.38618
442,82.39324
443,83.08254
444,83.25731
445,83.599686
446,83.50653
447,83.76069
448,83.42346
449,83.234856
450,83.24721
451,83.3402
452,82.50923
453,82.59008
454,81.918625
455,81.944466
456,82.84697
457,82.475586
458,82.59915
459,83.069756
460,83.936745
461,82.845276
462,83.42409
463,83.49866
464,81.03614
465,81.13475
466,81.9408
467,81.82482
468,83.17589
469,84.17992
470,84.65853
471,84.58888
472,84.08421
473,85.7523
474,85.543625
475,85.19378
476,84.895615
477,84.83175
478,84.8219
479,84.73524
480,84.976204
481,85.00883
482,84.88514
483,85.20076
484,85.55007
485,86.22076
486,87.18821
487,87.410385
488,87.44963
489,87.14724
490,87.33269
491,88.57098
492,87.70814
493,89.15701
494,89.21954
495,89.24933
496,90.57234
497,90.948654
498,91.01594
499,91.4696
500,92.949295
501,93.00804
502,92.150856
503,93.95779
504,93.444595
505,91.496056
506,88.20497
507,90.464264
508,89.080055
509,85.39572
510,87.44256
511,88.19553
512,88.97515
513,89.88295
514,91.52624
515,91.192764
516,91.859085
517,90.88421
518,91.04043
519,92.91117
520,94.23086
521,93.471405
522,93.14455
523,92.30583
524,92.383736
525,92.82862
526,92.61915
527,93.08122
528,93.57987
529,95.4125
530,95.792145
531,93.991234
532,93.401855
533,93.49864
534,93.82559
535,92.45397
536,92.555466
537,91.93241
538,89.685074
539,87.30821
540,92.29689
541,89.0998
542,89.062096
543,90.34612
544,88.23384
545,89.06431
546,91.13775
547,91.43718
548,89.840546
549,90.137024
550,91.78645
551,91.13264
552,92.601295
